OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
53,53,67,133,WASHINGTON,Washington,FL,2469,51,130,250,377,373,404,408,234,171,71,0,0 to 119,46,1204,1245,20,2452,17,0,100,1229,9,1576,20,1417,1035,0,17,2435,1285,118,12,2,567,833,3,1403,16,63,156,269,243,238,206,112,89,25,0,0 to 99,43,868,294,63,178,42,939,422,88,3,84,2,0,24,1417,839,575,1403,14,0,6364,4,7808,6368,1417,24,1434,1377,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},7,64,71,0.098591549,43,2.379530618,0.149981584
54,54,45,89,NASSAU,Nassau,FL,6721,123,326,842,813,846,1005,1090,914,533,226,3,0 to 103,49,3665,2986,70,6397,324,0,522,3509,28,2027,368,2819,3847,0,55,6343,2475,120,220,4,1336,1258,1,2595,34,120,454,397,397,476,410,284,164,83,0,0 to 103,45,2094,239,115,147,107,2293,195,317,12,170,3,1,53,2819,1345,1473,2595,224,0,23431,100,26366,23531,2819,53,3466,3461,{4D22D524-13F7-4497-919B-BC6894006209},31,281,312,0.099358974,45,3.759421308,0.154419686
55,55,22,43,GLADES,Glades,FL,891,15,64,106,184,185,128,93,60,48,7,1,0 to 90,38,347,543,1,891,0,0,88,408,3,609,9,643,247,0,1,890,635,8,0,0,204,439,0,643,9,27,71,157,150,99,71,31,24,4,0,0 to 89,38,463,116,34,30,240,370,33,74,0,54,0,0,8,643,439,204,643,0,0,1152,0,1796,1152,643,8,652,592,{DB14356A-7E77-445A-A524-193DAC2519E8},2,16,18,0.111111111,38,2.276843366,0.23195701
56,56,8,15,CHARLOTTE,Charlotte,FL,9482,94,189,680,882,941,1305,1810,1737,1136,702,6,0 to 119,58,5390,4046,46,9435,47,0,1617,5511,62,4031,124,4425,5042,1,14,9420,4023,371,30,1,2367,2019,8,4394,32,117,444,466,442,595,826,735,476,292,0,0 to 101,56,3293,272,362,467,323,3414,657,532,3,484,2,0,176,4425,2032,2385,4394,31,0,41553,17,46036,41570,4425,176,750,731,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},42,755,797,0.052697616,56,3.832180593,0.165856244
57,57,58,115,SARASOTA,Sarasota,FL,25768,297,910,2766,2885,2762,3426,4204,4182,2837,1462,37,0 to 119,54,14207,11384,177,25385,383,0,2383,17486,190,8664,269,11620,14118,0,30,25356,11316,141,156,7,6090,5291,76,11457,110,451,1689,1678,1498,1694,1636,1340,919,601,4,0 to 104,47,6795,761,1163,2738,1538,6734,3185,886,27,856,24,3,364,11620,5376,6168,11457,163,0,109868,221,121780,110089,11620,364,6434,6329,{63CF7F11-0E2E-4C45-8079-812F07405F88},90,1513,1603,0.056144729,46,2.514423953,0.137455101
58,58,14,27,DESOTO,Desoto,FL,4226,109,335,484,635,629,672,667,394,212,85,4,0 to 102,43,1782,2340,104,4211,15,0,363,2277,48,1834,47,1882,2334,1,9,4201,1736,141,4,1,769,1100,8,1877,45,150,260,344,330,284,248,132,64,25,0,0 to 97,39,1133,198,142,404,787,632,458,281,1,150,1,1,33,1882,1103,771,1877,5,0,10678,10,12576,10688,1882,33,2093,1958,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},30,114,144,0.208333333,38,1.624129051,0.150723124
59,59,18,35,FLAGLER,Flagler,FL,6893,121,276,617,736,838,979,1231,1129,690,271,5,0 to 119,53,3928,2918,47,6843,50,0,645,4077,37,2326,114,2466,4416,0,11,6832,2205,242,18,1,1322,1118,7,2447,33,142,323,312,313,373,397,323,197,52,1,0 to 96,48,1480,338,417,212,324,1861,262,275,8,181,4,2,41,2466,1127,1332,2447,19,0,23423,31,25942,23454,2466,41,3385,3350,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},34,244,278,0.122302158,48,2.094590777,0.120416346
60,60,26,51,HENDRY,Hendry,FL,4656,175,372,697,791,736,649,571,333,196,129,7,0 to 104,38,2298,2352,6,4645,11,0,538,1869,32,2204,59,2391,2262,1,2,4642,2315,67,9,0,1123,1259,0,2382,67,181,377,453,427,345,265,153,81,42,0,0 to 100,37,1865,275,114,128,1530,751,101,385,0,219,0,0,45,2391,1264,1127,2382,9,0,9449,2,11862,9451,2391,45,3880,3455,{71664F0E-3199-410F-AD8C-5269FFA55669},17,89,106,0.160377358,37,2.751957998,0.279063453
61,61,31,61,INDIAN RIVER,Indian River,FL,11475,240,647,1336,1226,1194,1440,1708,1703,1139,838,4,0 to 119,52,6649,4788,38,11377,98,0,848,6152,77,5554,224,4580,6838,0,57,11322,4494,46,38,2,2447,2076,17,4540,78,232,745,651,566,627,623,519,323,216,0,0 to 105,45,2772,489,394,885,881,2631,1028,709,9,393,4,0,127,4580,2102,2461,4540,40,0,43339,65,48009,43404,4580,127,4975,4505,{193731CA-A50A-4707-8EB3-D6585D669C9C},57,654,711,0.080168776,45,2.237724047,0.120741479
62,62,6,11,BROWARD,Broward,FL,208711,5628,12787,23437,33460,32675,33897,31879,19410,9956,5338,244,0 to 119,43,111519,96192,1000,206554,2157,0,17774,114743,2336,98698,3185,97476,110979,35,221,206303,87879,8673,853,70,49958,46436,158,96552,2023,5675,14440,18911,16858,15685,12738,6397,3074,1638,36,0 to 107,39,44633,23248,14158,14513,37460,45146,13946,11557,124,6509,88,29,1608,97475,47006,50308,96552,923,0,638016,1245,737641,639261,97475,1608,61172,60805,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},777,9081,9858,0.078819233,39,2.791976328,0.283663157
63,63,17,33,ESCAMBIA,Escambia,FL,31503,639,1020,3845,4933,4114,4245,5099,4021,2301,1198,88,0 to 119,48,17678,13678,147,27346,4157,0,2108,23333,183,8001,548,15436,16053,1,13,27333,13618,184,1634,0,7102,6590,110,13802,206,568,2606,2864,2277,2059,2076,1456,888,425,11,0 to 105,40,5890,2844,1708,3360,457,9441,3904,1523,27,990,20,22,290,15436,7303,8023,13802,1634,0,97265,2610,115372,99875,15436,290,1617,1538,{3780C858-9510-4A33-A345-0ACD39C89BB6},119,1153,1272,0.093553459,40,4.369183086,0.166409868
64,64,47,93,OKEECHOBEE,Okeechobee,FL,3712,117,269,582,499,510,477,520,321,249,160,8,0 to 119,42,1946,1751,15,3697,15,0,601,1446,2,1722,44,1905,1801,1,5,3691,1730,168,5,2,897,1000,1,1898,45,141,323,286,317,266,263,128,96,40,0,0 to 100,39,1350,229,207,112,724,1066,108,265,2,201,3,0,43,1905,1003,901,1898,7,0,11110,7,13037,11117,1905,43,2486,2405,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},16,221,237,0.067510549,40,2.587611257,0.210545212
65,65,19,37,FRANKLIN,Franklin,FL,1665,45,149,195,245,226,214,269,195,107,20,0,0 to 95,43,756,908,1,1654,11,0,67,555,0,957,43,809,850,0,6,1648,721,80,5,3,260,541,0,801,12,44,93,177,143,124,126,53,33,4,0,0 to 87,40,525,233,22,21,68,656,77,27,0,10,0,0,4,809,543,266,801,8,0,4938,3,5762,4941,809,4,669,668,{9F12DFF3-9143-493B-867B-127F2B6BFF20},0,47,47,0,40,4.439351705,0.135013809
66,66,1,1,ALACHUA,Alachua,FL,26890,418,703,6966,4558,3331,3175,3340,2461,1175,696,67,0 to 119,37,15134,11627,129,26534,356,0,3644,18235,61,9607,348,11994,14837,4,55,26475,11586,296,100,12,6469,5396,17,11882,165,415,5324,1888,1124,1035,911,654,310,164,4,0 to 103,25,6335,2623,1249,1675,1572,8428,1882,1341,28,580,29,3,91,11994,5461,6515,11882,112,0,108669,250,120950,108919,11994,91,1820,1797,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},132,2536,2668,0.049475262,24,2.625332392,0.233996913
67,67,55,109,ST. JOHNS,St. Johns,FL,20978,399,1698,3342,2225,2900,3195,3067,2389,1197,547,19,0 to 119,44,11275,9570,133,20817,161,0,1756,10992,208,8000,594,7699,13240,7,32,20779,7122,436,135,6,3945,3606,7,7558,89,374,1640,1011,1172,1188,1086,649,331,159,0,0 to 101,41,5576,530,521,931,628,5827,1103,545,5,368,5,0,89,7699,3676,4012,7558,141,0,67454,569,75768,68023,7699,89,11863,11824,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},57,1081,1138,0.050087873,41,3.246336457,0.154879969
69,68,999,999,Unknown,Unknown,FL,3285,26,103,497,507,482,482,439,257,237,238,17,0 to 119,45,1805,1434,46,297,2988,0,22,3139,0,49,82,2160,1122,0,3,296,163,1,1986,10,85,76,3,164,25,99,433,387,338,326,287,149,74,28,14,0 to 82,32,28,27,51,58,37,70,57,0,8,0,6,6,0,2160,1095,1024,164,1996,0,20241,983,23428,21224,2160,0,908,906,{D1373507-E2BB-431D-A2F9-63F6067C627A},0,634,634,0,32,0,0
70,69,998,998,A State,State,FL,1832254,35530,81538,226776,282256,265057,280666,276749,203707,116424,57206,6345,0 to 225,45,982743,836582,12929,1807234,25012,8,161911,1192952,0,593324,22362,905252,921378,363,5261,1801660,857878,34474,12530,366,459216,428367,4769,892352,15146,41468,148340,164978,142670,140230,117451,71321,40509,22062,1073,0 to 110,40,438137,128884,121602,203729,266822,401087,224443,87437,1004,52637,646,218,17731,905248,434814,465439,892344,12896,8,5812647,12937,6738319,5825584,905248,17731,423095,410255,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},7783,87923,95706,6.026679713,40,0,0
