OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
56,56,8,15,CHARLOTTE,Charlotte,FL,10390,102,203,772,982,1036,1396,1989,1930,1237,737,6,0 to 119,58,5852,4491,47,10327,63,0,1784,5887,62,4582,143,5293,5079,1,17,10309,4842,404,46,1,2801,2436,9,5246,39,128,526,557,529,687,1003,916,577,331,0,0 to 101,56,3908,314,400,624,365,3999,882,592,6,526,5,0,197,5293,2457,2827,5246,47,0,44675,17,50027,44692,5293,197,930,911,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},72,781,853,0.084407972,56,3.832180593,0.165856244
57,57,58,115,SARASOTA,Sarasota,FL,28972,349,1194,3152,3255,3083,3806,4699,4671,3140,1586,37,0 to 119,54,15911,12884,177,28371,601,0,2658,19039,190,10265,326,14257,14685,0,30,28342,13740,143,367,7,7381,6423,79,13883,142,556,1964,2031,1785,2023,2068,1771,1196,717,4,0 to 104,48,8868,868,1271,2876,1799,8237,3847,955,35,908,26,4,391,14257,6617,7561,13883,374,0,124013,228,138567,124241,14257,391,8063,7959,{63CF7F11-0E2E-4C45-8079-812F07405F88},152,2600,2752,0.055232558,47,2.514423953,0.137455101
58,58,14,27,DESOTO,Desoto,FL,4541,118,369,530,673,677,707,710,429,234,90,4,0 to 102,43,1916,2527,98,4526,15,0,568,2176,48,2250,58,2451,2080,1,9,4516,2231,211,7,1,895,1539,8,2442,49,166,299,403,419,398,397,189,95,35,0,0 to 97,42,1351,218,155,718,860,784,798,315,1,165,1,1,34,2450,1545,897,2442,8,0,10866,7,13329,10873,2450,34,2326,2191,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},18,109,127,0.141732283,41,1.624129051,0.150723124
59,59,18,35,FLAGLER,Flagler,FL,7398,143,322,703,795,909,1055,1308,1175,709,273,6,0 to 119,52,4195,3149,54,7342,56,0,700,4142,37,2693,132,2812,4574,0,12,7330,2467,320,23,2,1496,1277,14,2787,38,165,380,354,368,431,447,359,215,54,1,0 to 96,47,1696,372,453,266,361,2099,327,292,9,196,5,2,43,2812,1290,1508,2787,25,0,25600,31,28463,25631,2812,43,4034,3999,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},23,312,335,0.068656716,48,2.094590777,0.120416346
60,60,26,51,HENDRY,Hendry,FL,4867,186,407,729,824,765,676,589,350,205,129,7,0 to 104,38,2407,2448,12,4855,12,0,568,1902,32,2351,62,2561,2299,1,6,4848,2472,79,10,0,1214,1331,6,2551,70,197,399,481,456,373,282,169,92,42,0,0 to 100,38,1962,308,126,155,1587,836,128,407,0,234,0,0,45,2561,1336,1219,2551,10,0,9886,2,12469,9888,2561,45,4180,3757,{71664F0E-3199-410F-AD8C-5269FFA55669},22,189,211,0.104265403,37,2.751957998,0.279063453
61,61,31,61,INDIAN RIVER,Indian River,FL,12190,272,750,1448,1324,1255,1513,1795,1778,1192,858,5,0 to 119,52,7044,5105,41,12078,112,0,1005,6178,77,6204,257,5124,7010,0,56,12023,5012,60,50,2,2730,2323,19,5072,88,272,813,738,619,691,706,589,372,235,1,0 to 105,45,3247,523,409,893,1017,3033,1022,775,11,430,5,0,139,5124,2356,2749,5072,52,0,46829,68,52048,46897,5124,139,5466,4998,{193731CA-A50A-4707-8EB3-D6585D669C9C},44,888,932,0.0472103,45,2.237724047,0.120741479
62,62,6,11,BROWARD,Broward,FL,228416,6387,15199,26451,37075,35732,36802,34157,20471,10384,5508,250,0 to 119,43,121744,105609,1063,225978,2438,0,20554,118268,2336,114818,4162,110518,117576,39,283,225662,100592,8796,1059,70,56443,52692,253,109388,2354,6633,16296,21607,19130,17727,14352,7202,3409,1768,39,0 to 107,39,52308,25297,16071,15712,42359,51069,15960,12148,136,6824,97,29,1687,110517,53370,56888,109388,1129,0,702329,1318,815090,703647,110517,1687,71818,71454,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},1148,13216,14364,0.079922027,39,2.791976328,0.283663157
63,63,17,33,ESCAMBIA,Escambia,FL,33164,661,1114,4111,5243,4324,4464,5320,4191,2409,1237,90,0 to 119,47,18595,14415,154,28786,4378,0,2317,24107,183,9243,591,17177,15974,1,12,28774,15078,240,1859,0,7953,7249,116,15318,226,656,2881,3181,2500,2294,2308,1648,1002,468,13,0 to 105,40,6773,3087,1843,3615,500,10571,4247,1634,30,1081,23,27,310,17177,8065,8995,15318,1859,0,103786,2604,123629,106390,17177,310,1808,1729,{3780C858-9510-4A33-A345-0ACD39C89BB6},154,1436,1590,0.096855346,40,4.369183086,0.166409868
64,64,47,93,OKEECHOBEE,Okeechobee,FL,3941,122,308,635,513,538,508,542,339,262,166,8,0 to 119,42,2061,1864,16,3920,21,0,650,1444,2,1856,67,2068,1868,1,4,3915,1844,211,10,3,972,1081,2,2055,48,154,351,302,341,291,282,146,107,46,0,0 to 100,40,1489,235,220,111,772,1173,110,290,7,212,5,0,44,2068,1088,978,2055,13,0,11535,7,13628,11542,2068,44,2812,2731,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},7,185,192,0.036458333,39,2.587611257,0.210545212
65,65,19,37,FRANKLIN,Franklin,FL,1694,47,151,199,249,227,216,272,202,111,20,0,0 to 95,43,771,922,1,1680,14,0,67,560,0,975,49,833,855,0,6,1674,729,93,5,6,271,551,0,822,13,45,96,181,143,126,129,59,37,4,0,0 to 87,40,546,233,22,21,68,677,77,27,0,10,0,0,4,833,554,279,822,11,0,5051,3,5899,5054,833,4,669,668,{9F12DFF3-9143-493B-867B-127F2B6BFF20},1,113,114,0.00877193,40,4.439351705,0.135013809
66,66,1,1,ALACHUA,Alachua,FL,28138,441,803,7326,4810,3489,3305,3439,2530,1210,717,68,0 to 119,36,15813,12201,124,27769,369,0,3995,18463,61,10812,415,13118,14950,4,66,27699,12670,322,114,12,7073,5904,15,12992,178,481,5647,2128,1273,1147,1010,716,347,186,5,0 to 105,25,6990,2940,1359,1703,1713,9360,1919,1449,29,646,31,3,102,13118,5976,7126,12992,126,0,114798,249,128203,115047,13118,102,2256,2232,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},102,2132,2234,0.045658013,25,2.625332392,0.233996913
67,67,55,109,ST. JOHNS,St. Johns,FL,23241,452,2093,3838,2471,3223,3503,3327,2523,1227,561,23,0 to 119,43,12483,10600,158,23066,175,0,1929,11550,208,9314,644,9217,13969,7,48,23012,8608,454,149,6,4725,4300,37,9062,106,485,1894,1226,1423,1453,1317,774,361,176,2,0 to 101,41,6564,602,618,1278,709,6731,1622,582,5,396,5,0,99,9217,4376,4799,9062,155,0,73227,591,83085,73818,9217,99,14280,14241,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},132,1211,1343,0.098287416,41,3.246336457,0.154879969
69,68,999,999,Unknown,Unknown,FL,4007,39,140,614,643,596,577,534,320,268,257,19,0 to 119,44,2163,1777,67,328,3679,0,42,3796,0,70,116,2869,1135,0,3,327,195,1,2659,14,100,91,5,196,38,136,546,518,452,422,378,211,105,48,15,0 to 82,33,42,28,59,67,45,86,65,0,11,1,7,7,0,2869,1430,1378,196,2673,0,23187,996,27104,24183,2869,0,1178,1176,{D1373507-E2BB-431D-A2F9-63F6067C627A},1,67,68,0.014705882,32,0,0
70,69,998,998,A State,State,FL,1976141,39343,95339,249408,306630,286122,301048,294745,215278,122433,59378,6417,0 to 225,45,1058090,904037,14014,1947018,29115,8,181348,1247760,0,666536,25799,1029036,940971,363,5771,1940948,973931,38525,16105,469,521738,484854,5864,1012456,17507,49333,166860,187503,161668,158594,133950,82011,46253,24227,1124,0 to 110,40,513142,140605,137887,220822,309932,459351,243173,92936,1137,55820,707,238,18874,1029030,493094,529779,1012448,16574,8,6376281,13365,7426315,6389646,1029030,18874,488978,476182,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},10699,120045,130744,6.46861151,40,0,0
